,Topic Divergence,Avg Compat Ratio,Burst Length
89.0,1.0,0.53,8.0
90.0,1.0,0.53,8.0
91.0,1.0,0.53,9.0
92.0,1.0,0.53,9.0
93.0,1.0,0.53,8.0
94.0,1.0,0.53,9.0
95.0,1.0,0.53,4.0
96.0,1.0,0.53,10.0
97.0,1.0,0.54,8.0
98.0,1.0,0.54,11.0
99.0,1.0,0.54,11.0
100.0,1.0,0.54,8.0
101.0,1.0,0.54,8.0
102.0,1.0,0.54,7.0
103.0,1.0,0.54,5.0
104.0,1.0,0.54,7.0
105.0,1.0,0.54,9.0
106.0,1.0,0.54,6.0
107.0,1.0,0.53,7.0
108.0,1.0,0.53,6.0
109.0,1.0,0.54,7.0
110.0,1.0,0.53,8.0
111.0,1.0,0.53,10.0
112.0,1.0,0.53,10.0
113.0,1.0,0.53,8.0
114.0,1.0,0.53,7.0
115.0,1.0,0.53,8.0
116.0,1.0,0.53,8.0
117.0,1.0,0.53,7.0
118.0,1.0,0.53,10.0
119.0,1.0,0.53,9.0
120.0,1.0,0.53,8.0
121.0,1.0,0.52,11.0
122.0,1.0,0.52,9.0
123.0,1.0,0.53,6.0
124.0,1.0,0.52,10.0
125.0,1.0,0.52,6.0
126.0,1.0,0.52,9.0
127.0,1.0,0.52,10.0
128.0,1.0,0.53,12.0
129.0,1.0,0.53,5.0
130.0,1.0,0.53,7.0
131.0,1.0,0.53,6.0
132.0,1.0,0.53,9.0
133.0,1.0,0.53,7.0
134.0,1.0,0.53,3.0
135.0,1.0,0.53,8.0
136.0,1.0,0.53,8.0
137.0,1.0,0.53,7.0
138.0,1.0,0.53,7.0
139.0,1.0,0.53,6.0
140.0,1.0,0.53,11.0
141.0,1.0,0.53,9.0
142.0,1.0,0.53,12.0
143.0,1.0,0.53,11.0
144.0,1.0,0.53,8.0
145.0,1.0,0.53,9.0
146.0,1.0,0.53,5.0
147.0,1.0,0.53,4.0
148.0,1.0,0.53,11.0
149.0,1.0,0.53,10.0
150.0,1.0,0.53,10.0
151.0,1.0,0.53,7.0
152.0,1.0,0.53,7.0
153.0,1.0,0.53,9.0
154.0,1.0,0.53,6.0
155.0,1.0,0.53,6.0
156.0,1.0,0.53,7.0
157.0,1.0,0.53,6.0
158.0,1.0,0.53,11.0
159.0,1.0,0.53,7.0
160.0,1.0,0.53,11.0
161.0,1.0,0.53,9.0
162.0,1.0,0.53,7.0
163.0,1.0,0.53,12.0
164.0,1.0,0.53,5.0
165.0,1.0,0.53,10.0
166.0,1.0,0.53,5.0
167.0,1.0,0.53,9.0
168.0,1.0,0.53,8.0
169.0,1.0,0.53,10.0
170.0,1.0,0.53,8.0
171.0,1.0,0.54,8.0
172.0,1.0,0.54,7.0
173.0,1.0,0.53,5.0
174.0,1.0,0.53,10.0
175.0,1.0,0.53,9.0
176.0,1.0,0.53,8.0
177.0,1.0,0.53,7.0
178.0,1.0,0.53,9.0
179.0,1.0,0.53,7.0
180.0,1.0,0.53,8.0
181.0,1.0,0.53,7.0
182.0,1.0,0.53,11.0
183.0,1.0,0.53,9.0
184.0,1.0,0.53,7.0
185.0,1.0,0.53,7.0
186.0,1.0,0.53,7.0
187.0,1.0,0.54,8.0
188.0,1.0,0.54,7.0
189.0,1.0,0.53,8.0
190.0,1.0,0.53,7.0
191.0,1.0,0.53,10.0
192.0,1.0,0.53,9.0
193.0,1.0,0.53,8.0
194.0,1.0,0.53,8.0
195.0,1.0,0.53,5.0
196.0,1.0,0.53,9.0
197.0,1.0,0.53,7.0
198.0,1.0,0.53,6.0
199.0,1.0,0.53,9.0
200.0,1.0,0.54,9.0
201.0,1.0,0.54,10.0
202.0,1.0,0.54,10.0
203.0,1.0,0.54,7.0
204.0,1.0,0.54,8.0
205.0,1.0,0.54,8.0
206.0,1.0,0.54,5.0
207.0,1.0,0.54,5.0
208.0,1.0,0.54,7.0
209.0,1.0,0.54,8.0
210.0,1.0,0.54,5.0
211.0,1.0,0.54,7.0
212.0,1.0,0.54,7.0
213.0,1.0,0.54,9.0
214.0,1.0,0.54,2.0
215.0,1.0,0.54,6.0
216.0,1.0,0.54,8.0
217.0,1.0,0.54,7.0
218.0,1.0,0.54,9.0
219.0,1.0,0.54,9.0
220.0,1.0,0.54,7.0
221.0,1.0,0.54,11.0
222.0,1.0,0.54,8.0
223.0,1.0,0.54,10.0
224.0,1.0,0.54,6.0
225.0,1.0,0.54,6.0
226.0,1.0,0.54,7.0
227.0,1.0,0.54,8.0
228.0,1.0,0.54,9.0
229.0,1.0,0.54,8.0
230.0,1.0,0.54,7.0
231.0,1.0,0.54,9.0
232.0,1.0,0.54,9.0
233.0,1.0,0.54,7.0
234.0,1.0,0.54,8.0
235.0,1.0,0.54,5.0
236.0,1.0,0.54,6.0
237.0,1.0,0.54,5.0
238.0,1.0,0.54,8.0
239.0,1.0,0.54,7.0
240.0,1.0,0.54,7.0
241.0,1.0,0.54,7.0
242.0,1.0,0.54,8.0
243.0,1.0,0.54,7.0
244.0,1.0,0.54,7.0
245.0,1.0,0.54,6.0
246.0,1.0,0.54,6.0
247.0,1.0,0.54,6.0
248.0,1.0,0.54,7.0
249.0,1.0,0.54,9.0
250.0,1.0,0.54,9.0
251.0,1.0,0.54,9.0
252.0,1.0,0.54,6.0
253.0,1.0,0.54,4.0
254.0,1.0,0.54,10.0
255.0,1.0,0.54,7.0
256.0,1.0,0.54,6.0
257.0,1.0,0.53,6.0
258.0,1.0,0.53,7.0
259.0,1.0,0.53,10.0
260.0,1.0,0.53,8.0
261.0,1.0,0.53,8.0
262.0,1.0,0.54,10.0
263.0,1.0,0.54,9.0
264.0,1.0,0.54,10.0
265.0,1.0,0.54,9.0
266.0,1.0,0.54,10.0
267.0,1.0,0.54,7.0
268.0,1.0,0.54,11.0
269.0,1.0,0.54,8.0
270.0,1.0,0.54,8.0
271.0,1.0,0.54,7.0
272.0,1.0,0.54,7.0
273.0,1.0,0.54,8.0
274.0,1.0,0.54,8.0
275.0,1.0,0.54,10.0
276.0,1.0,0.54,8.0
277.0,1.0,0.54,5.0
278.0,1.0,0.54,8.0
279.0,1.0,0.54,11.0
280.0,1.0,0.54,7.0
281.0,1.0,0.54,10.0
282.0,1.0,0.54,7.0
283.0,1.0,0.54,9.0
284.0,1.0,0.54,6.0
285.0,1.0,0.54,8.0
286.0,1.0,0.54,9.0
287.0,1.0,0.54,12.0
288.0,1.0,0.53,11.0
289.0,1.0,0.53,5.0
290.0,1.0,0.53,5.0
291.0,1.0,0.53,6.0
292.0,1.0,0.53,4.0
293.0,1.0,0.53,11.0
294.0,1.0,0.53,8.0
295.0,1.0,0.53,6.0
296.0,1.0,0.53,10.0
297.0,1.0,0.53,6.0
298.0,1.0,0.53,6.0
299.0,1.0,0.53,6.0
300.0,1.0,0.53,9.0
