,Topic Divergence,Avg Compat Ratio,Burst Length
94.0,-1.0,0.4,6.0
95.0,-1.0,0.4,10.0
96.0,-1.0,0.41,7.0
97.0,-1.0,0.4,11.0
98.0,-1.0,0.4,12.0
99.0,-1.0,0.4,5.0
100.0,-1.0,0.41,4.0
101.0,-1.0,0.41,7.0
102.0,-1.0,0.41,6.0
103.0,-1.0,0.41,7.0
104.0,-1.0,0.41,13.0
105.0,-1.0,0.41,7.0
106.0,-1.0,0.41,9.0
107.0,-1.0,0.41,6.0
108.0,-1.0,0.41,5.0
109.0,-1.0,0.41,9.0
110.0,-1.0,0.41,9.0
111.0,-1.0,0.41,5.0
112.0,-1.0,0.41,9.0
113.0,-1.0,0.41,10.0
114.0,-1.0,0.41,8.0
115.0,-1.0,0.41,8.0
116.0,-1.0,0.41,10.0
117.0,-1.0,0.41,11.0
118.0,-1.0,0.41,11.0
119.0,-1.0,0.41,9.0
120.0,-1.0,0.41,8.0
121.0,-1.0,0.41,8.0
122.0,-1.0,0.41,4.0
123.0,-1.0,0.41,11.0
124.0,-1.0,0.41,8.0
125.0,-1.0,0.41,11.0
126.0,-1.0,0.41,8.0
127.0,-1.0,0.41,9.0
128.0,-1.0,0.41,4.0
129.0,-1.0,0.41,7.0
130.0,-1.0,0.41,5.0
131.0,-1.0,0.41,8.0
132.0,-1.0,0.41,8.0
133.0,-1.0,0.41,7.0
134.0,-1.0,0.41,9.0
135.0,-1.0,0.41,10.0
136.0,-1.0,0.41,10.0
137.0,-1.0,0.41,7.0
138.0,-1.0,0.41,9.0
139.0,-1.0,0.41,3.0
140.0,-1.0,0.41,6.0
141.0,-1.0,0.41,9.0
142.0,-1.0,0.41,6.0
143.0,-1.0,0.41,8.0
144.0,-1.0,0.41,10.0
145.0,-1.0,0.41,6.0
146.0,-1.0,0.41,6.0
147.0,-1.0,0.41,6.0
148.0,-1.0,0.41,4.0
149.0,-1.0,0.41,5.0
150.0,-1.0,0.41,10.0
151.0,-1.0,0.41,8.0
152.0,-1.0,0.41,11.0
153.0,-1.0,0.41,10.0
154.0,-1.0,0.41,10.0
155.0,-1.0,0.41,8.0
156.0,-1.0,0.41,7.0
157.0,-1.0,0.41,10.0
158.0,-1.0,0.41,9.0
159.0,-1.0,0.41,8.0
160.0,-1.0,0.41,8.0
161.0,-1.0,0.41,7.0
162.0,-1.0,0.41,12.0
163.0,-1.0,0.4,10.0
164.0,-1.0,0.41,6.0
165.0,-1.0,0.41,10.0
166.0,-1.0,0.41,9.0
167.0,-1.0,0.41,9.0
168.0,-1.0,0.41,9.0
169.0,-1.0,0.41,9.0
170.0,-1.0,0.41,12.0
171.0,-1.0,0.41,9.0
172.0,-1.0,0.41,9.0
173.0,-1.0,0.41,8.0
174.0,-1.0,0.41,7.0
175.0,-1.0,0.41,6.0
176.0,-1.0,0.41,10.0
177.0,-1.0,0.41,3.0
178.0,-1.0,0.41,8.0
179.0,-1.0,0.41,8.0
180.0,-1.0,0.41,8.0
181.0,-1.0,0.41,6.0
182.0,-1.0,0.41,6.0
183.0,-1.0,0.41,9.0
184.0,-1.0,0.41,10.0
185.0,-1.0,0.41,9.0
186.0,-1.0,0.41,10.0
187.0,-1.0,0.41,7.0
188.0,-1.0,0.41,5.0
189.0,-1.0,0.41,6.0
190.0,-1.0,0.41,8.0
191.0,-1.0,0.41,8.0
192.0,-1.0,0.41,9.0
193.0,-1.0,0.41,13.0
194.0,-1.0,0.41,3.0
195.0,-1.0,0.41,8.0
196.0,-1.0,0.41,3.0
197.0,-1.0,0.41,9.0
198.0,-1.0,0.41,5.0
199.0,-1.0,0.41,9.0
200.0,-1.0,0.41,12.0
201.0,-1.0,0.41,12.0
202.0,-1.0,0.41,7.0
203.0,-1.0,0.41,11.0
204.0,-1.0,0.41,8.0
205.0,-1.0,0.41,9.0
206.0,-1.0,0.41,8.0
207.0,-1.0,0.41,6.0
208.0,-1.0,0.41,10.0
209.0,-1.0,0.41,10.0
210.0,-1.0,0.41,6.0
211.0,-1.0,0.41,9.0
212.0,-1.0,0.41,8.0
213.0,-1.0,0.41,6.0
214.0,-1.0,0.41,10.0
215.0,-1.0,0.41,7.0
216.0,-1.0,0.41,9.0
217.0,-1.0,0.41,10.0
218.0,-1.0,0.41,9.0
219.0,-1.0,0.41,8.0
220.0,-1.0,0.41,9.0
221.0,-1.0,0.41,7.0
222.0,-1.0,0.41,8.0
223.0,-1.0,0.41,10.0
224.0,-1.0,0.41,6.0
225.0,-1.0,0.41,7.0
226.0,-1.0,0.41,7.0
227.0,-1.0,0.41,7.0
228.0,-1.0,0.41,13.0
229.0,-1.0,0.41,9.0
230.0,-1.0,0.41,8.0
231.0,-1.0,0.41,6.0
232.0,-1.0,0.41,10.0
233.0,-1.0,0.41,10.0
234.0,-1.0,0.41,7.0
235.0,-1.0,0.41,10.0
236.0,-1.0,0.41,10.0
237.0,-1.0,0.41,10.0
238.0,-1.0,0.41,12.0
239.0,-1.0,0.41,7.0
240.0,-1.0,0.41,11.0
241.0,-1.0,0.41,10.0
242.0,-1.0,0.41,10.0
243.0,-1.0,0.41,13.0
244.0,-1.0,0.41,14.0
245.0,-1.0,0.41,9.0
246.0,-1.0,0.41,5.0
247.0,-1.0,0.41,8.0
248.0,-1.0,0.41,8.0
249.0,-1.0,0.41,6.0
250.0,-1.0,0.41,6.0
251.0,-1.0,0.41,9.0
252.0,-1.0,0.41,10.0
253.0,-1.0,0.41,7.0
254.0,-1.0,0.41,9.0
255.0,-1.0,0.41,8.0
256.0,-1.0,0.41,9.0
257.0,-1.0,0.41,4.0
258.0,-1.0,0.41,5.0
259.0,-1.0,0.41,9.0
260.0,-1.0,0.41,10.0
261.0,-1.0,0.41,5.0
262.0,-1.0,0.41,7.0
263.0,-1.0,0.41,9.0
264.0,-1.0,0.41,6.0
265.0,-1.0,0.41,5.0
266.0,-1.0,0.41,8.0
267.0,-1.0,0.41,9.0
268.0,-1.0,0.41,8.0
269.0,-1.0,0.41,8.0
270.0,-1.0,0.41,11.0
271.0,-1.0,0.41,3.0
272.0,-1.0,0.41,6.0
273.0,-1.0,0.41,7.0
274.0,-1.0,0.41,7.0
275.0,-1.0,0.41,9.0
276.0,-1.0,0.41,7.0
277.0,-1.0,0.41,8.0
278.0,-1.0,0.41,9.0
279.0,-1.0,0.41,8.0
280.0,-1.0,0.41,11.0
281.0,-1.0,0.41,10.0
282.0,-1.0,0.41,6.0
283.0,-1.0,0.41,10.0
284.0,-1.0,0.41,11.0
285.0,-1.0,0.41,8.0
286.0,-1.0,0.41,7.0
287.0,-1.0,0.41,12.0
288.0,-1.0,0.41,7.0
289.0,-1.0,0.41,8.0
290.0,-1.0,0.41,8.0
291.0,-1.0,0.41,9.0
292.0,-1.0,0.41,9.0
293.0,-1.0,0.41,13.0
294.0,-1.0,0.41,5.0
295.0,-1.0,0.41,6.0
296.0,-1.0,0.41,7.0
297.0,-1.0,0.41,11.0
298.0,-1.0,0.41,11.0
299.0,-1.0,0.41,8.0
300.0,-1.0,0.41,8.0
